11852	enterovirus	http://purl.obolibrary.org/obo/MESH_B04.820.565.284
11869	plant biology	
11879	hearing acuity	
11889	decibel	http://purl.obolibrary.org/obo/SCTID_259042002
11896	acoustical quality	
11909	noise spectrum	
11912	mechanical vibration	
11918	airborne noise	
11921	background noise	
11922	rolling noise	
11923	neighbourhood noise	
11927	acoustic comfort	
11930	noise exposure plan	
11958	tidal power station	
11967	hydroelectric energy	
11974	small power station	
11975	water mill	
1199	carry-over effect	
11990	power station derating	
120	adsorption	http://purl.obolibrary.org/obo/MESH_H01.181.529.047
1200	cartography	
12004	radioelement	
12006	fast reactor	
12007	contaminated area	
12008	atmospheric aerosol	
1201	car tyre	
12011	biofuel	
12013	forest deterioration	
12017	ethanol	http://purl.obolibrary.org/obo/MESH_D02.033.375
12022	motor vehicle pollution	
12026	atmospheric fallout	
12027	clean air car	
1203	cash crop	
12045	palaeoclimatology	
12060	continental climate	
12061	desert climate	http://purl.obolibrary.org/obo/ENVO_01000378
12062	equatorial climate	
12063	Mediterranean climate	
12064	mountain climate	
12065	oceanic climate	
12066	temperate climate	
12067	tropical climate	http://purl.obolibrary.org/obo/MESH_G03.230.300.100.250.600
12082	atmospheric inversion	
12084	thunderstorm	
1209	catalysis	http://purl.obolibrary.org/obo/MESH_H01.181.122.249
12091	glaze	
12096	exploitation of underground water	
12098	water infiltration into the ground	
121	adult	http://purl.obolibrary.org/obo/SCTID_133936004
1210	catalyst	http://purl.obolibrary.org/obo/CHEBI_35223
12104	water table	
12107	water catchment protection	
12108	water table protection	
1212	catalytic converter	
12122	flood runoff	
12123	silting up	
12128	hydrometry	
1213	catastrophe	http://purl.obolibrary.org/obo/SCTID_285247003
12131	flood forecast	
12135	hydrographic network	
12139	sedimentology	
12145	hydrographic basin	
1215	catchment area	
12151	bathing freshwater	
12152	demesnial water	
12153	non-demesnial water	
12161	bog	http://purl.obolibrary.org/obo/ENVO_00000044
12165	water desalination	
12166	bathing seawater	
12170	ocean outfall	
12171	ocean exploitation	
12174	swell	http://purl.obolibrary.org/obo/SCTID_65124004
12183	estuary pollution	
12189	river management	
12198	flushing	http://purl.obolibrary.org/obo/MESH_D005483
12199	canal lock	http://purl.obolibrary.org/obo/SCTID_257578006
122	adult education	http://purl.obolibrary.org/obo/SCTID_161125007
1220	catch yield	
12202	water weed cutting	
12204	bank protection	
1221	category of endangered species	
12210	retaining reservoir	
12213	dam draining	
12214	water corrosivity	
12215	water quality improvement	
12216	water taste	
12219	green tide	
12220	suspended matter	
12226	water salinity	http://purl.obolibrary.org/obo/ENVO_00002010
12231	catchment	http://purl.obolibrary.org/obo/ENVO_00000291
1224	cation	http://purl.obolibrary.org/obo/MESH_D01.248.497.300
12240	fountain	
12248	water reservoir	
1225	cattle	http://purl.obolibrary.org/obo/MESH_B02.649.077.380.271
12254	water demineralisation	
12259	on-site wastewater treatment	
12260	collective wastewater treatment	
12263	storm water basin	
12273	rain water sewer system	
12275	separate sewer system	
12276	combined sewer system	
12277	water aeration	
12278	individual wastewater treatment	
12279	sedimentation basin	
12280	trickling filter	
12283	used water	
12284	urban wastewater	
12285	waste treatment effluent	
12287	biological wastewater treatment	
12289	lagooning	http://purl.obolibrary.org/obo/ENVO_00000038
1229	cause for concern principle	
12293	water regeneration	
12301	water resources management	
1231	cave	http://purl.obolibrary.org/obo/ENVO_00000067
12318	waste sorting unit	
12321	scrap dump	
12325	reclamation industry	
12341	use of waste as energy source	
12342	use of waste as material	
12349	beach cleansing	
12357	bulky waste	
12366	alkaline battery	
12367	electric battery	
12377	pollution abatement waste	
12379	health-care activities waste	
12381	special industrial waste	
12382	metal waste	
12383	mineral waste	
1239	cell (biology)	
12390	wreck	
12394	mineral oil	http://purl.obolibrary.org/obo/MESH_D02.455.699.500
12395	whey	http://purl.obolibrary.org/obo/SCTID_226770007
12417	sinking of waste	
1242	cell (energy)	
12429	residue of grinding	
12430	treatment residue	
12431	incineration residue	
12435	clearing sludge	
12436	dehydrated sludge	
1244	cellulose	http://purl.obolibrary.org/obo/MESH_D09.203.698.365.180
12441	residual waste sludge	
12444	thickening	http://purl.obolibrary.org/obo/SCTID_263899003
12446	sludge stabilisation	
1245	cellulose industry	
12450	industrial activity	
12456	industrial wasteland	
12459	classified facility	
1247	cement	http://purl.obolibrary.org/obo/MESH_E05.170
12471	quartering	
12476	piggery	http://purl.obolibrary.org/obo/ENVO_00003042
1248	cement industry	http://purl.obolibrary.org/obo/SCTID_59334006
12482	oil production (chain)	
12485	hydrocarbon storage tank	
